genus	species	strain	sizeKb	nORF
Ferroplasma	acidarmanus	 	2000	NA
Haloarcula	marismortui	ATCC-43049 	2700	NA
Halobacterium	salinarium	ATCC-19700 	4000	NA
Haloferax	volcanii	DS2 ATCC-29605	4200	NA
Hyperthermus	butylicus	 	1900	NA
Methanosarcina	barkeri	Fusaro 	2500	NA
Nanoarchaeum	equitans	 	500	NA
Pyrolobus	fumarii	 	1850	2000
Sulfolobus	acidocaldarius	DSM 639	1900	NA
Acidithiobacillus	ferrooxidans	ATCC-23270 	2900	NA
Acidithiobacillus	ferrooxidans	ATCC-23270 	2611	2711
Acinetobacter	sp.	ADP1, ATCC-33305	3583	3356
Acinetobacter	calcoaceticus	ADP1 	3800	NA
Actinobacillus	actinomycetemcomitans	HK1651 	2200	NA
Anaplasma	phagocytophilum	 	1500	NA
Atopobium	minutum	ATCC-33267 	1965	1689
Azotobacter	vinelandii	AvOP 	4500	NA
Bacillus	anthracis	A2012 	5093	NA
Bacillus	anthracis	Ames 	4500	NA
Bacillus	cereus	ATCC-14579 	5458	5477
Bacillus	cereus	ATCC-10987 	5200	NA
Bacillus	stearothermophilus	10 	4250	NA
Bacteroides	fragilis	NCTC9343 (+638R)	5300	NA
Bartonella	henselae	Houston 1	2000	NA
Bartonella	quintana	Toulouse 	1600	NA
Bordetella	bronchiseptica	RB50 	4900	NA
Bordetella	parapertussis	12822 	3900	NA
Bordetella	pertussis	Tohama I	3880	NA
Bradyrhizobium	japonicum	USDA 110	10231	14192
Brucella	abortus	 	3287	NA
Brucella	suis	1330 	3300	NA
Buchnera	aphidicola	SG 	640	NA
Burkholderia	cepacia	cepacia J2315 	7600	NA
Burkholderia	fungorum	LB400 	8000	NA
Burkholderia	mallei	ATCC-23344 	6000	NA
Burkholderia	pseudomallei	K96243 	6000	NA
Campylobacter	fetus	 	1500	NA
Carboxydothermus	hydrogenoformans	 	2100	NA
Chlamydia	pneumoniae	 	1230	1069
Chlamydia	trachomatis	L2 	1038	997
Chlamydophila	abortus	 	1000	NA
Chlamydophila	caviae	GPIC 	1200	NA
Chlorobium	tepidum	TLS 	2100	NA
Chloroflexus	aurantiacus	J-10-fl 	3000	NA
Chromobacterium	violaceum	CCT 3496/ JMC 3496	4600	NA
Clavibacter	michiganensis	michiganensis subsp. sepedonicus �	2500	NA
Clostridium	botulinum	Hall strain A 	4000	NA
