subgroup	strain	Host (sex)	Location	A	B	C	D	E	F	G
A	ECOR4	Human (F)	Iowa	2585	707	527	90	166	38	608
A	ECOR5	Human (F)	Iowa	2940	743	515	90	128	38	699
A	ECOR11	Human (F)	Sweden	2750	824	556	90	128	38	735
A	ECOR13	Human (F)	Sweden	2485	680	515	90	128	38	639
A	ECOR14	Human (F)	Sweden	2645	735	608	90	128	38	707
A	ECOR15	Human (F)	Sweden	2690	735	575	90	138	38	639
A	ECOR18	Celebese ape	Washington (zoo)	2510	699	515	90	122	38	608
A	ECOR19	Celebese ape	Washington (zoo)	2480	699	527	90	122	38	639
A	ECOR20	Steer	Bali	2505	654	480	90	122	38	608
A	ECOR21	Steer	Bali	2505	654	480	90	122	38	608
A	ECOR23	Elephant	Washington (zoo)	2675	807	532	90	138	38	680
B1	ECOR27	Giraffe	Washington (zoo)	2600	707	515	90	143	38	616
B1	ECOR28	Human (F)	Iowa	2620	743	527	94	128	38	639
B1	ECOR29	Kangaroo rat	Nevada	2610	787	527	94	138	38	639
B1	ECOR34	Dog	Massachusetts	2500	790	515	94	138	38	680
B1	ECOR58	Lion	Washington (zoo)	2700	743	515	94	136	38	639
B1	ECOR68	Giraffe	Washington (zoo)	2745	843	532	94	138	38	807
B1	ECOR71	Human (F)	Sweden	2650	771	547	90	138	38	654
B1	ECOR72	Human (F)	Sweden	2635	771	532	94	138	38	680
B2	ECOR51	Human infant	Massachusetts	2750	810	550	112	138	38	810
B2	ECOR56	Human (F)	Sweden	2590	824	550	112	138	38	707
B2	ECOR57	Gorilla	Washington (zoo)	2860	810	550	112	138	38	810
B2	ECOR60	Human (F)	Sweden	2580	790	608	112	138	38	824
B2	ECOR61	Human (F)	Sweden	2505	776	527	112	166	38	776
B2	ECOR62	Human (F)	Sweden	2585	843	527	112	166	38	790
B2	ECOR63	Human (F)	Sweden	2700	873	550	112	138	38	807
B2	ECOR64	Human (F)	Sweden	2775	810	581	112	175	38	743
B2	ECOR65	Celebese ape	Washington (zoo)	2500	787	527	104	138	38	707
D	ECOR36	Human (F)	Iowa	2710	824	556	104	138	38	743
D	ECOR38	Human (F)	Iowa	2800	807	616	104	143	43	807
D	ECOR39	Human (F)	Sweden	2780	787	581	104	143	38	713
D	ECOR40	Human (F)	Sweden	2845	807	616	104	143	43	787
E	ECOR31	Leopard	Washington (zoo)	2775	743	547	94	138	38	735
E	ECOR37	Marmoset	Washington (zoo)	3100	787	581	94	175	38	743
E	ECOR42	Human (M)	Massachusetts	2735	743	616	94	143	38	699
