SUPERKINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS	SPECIES	DOMAIN	ORGANISM NAME	STRAIN	SEROVAR/BIOVAR	COMMON NAME	NCBI PROJECT NAME	CULTURE COLLECTION	TYPE STRAIN	GOLDSTAMP	OLD GOLDSTAMP	PROJECT TYPE	PROJECT STATUS	AVAILABILITY	SEQUENCING CENTERS	FUNDING	CONTACT NAME	CONTACT EMAIL	CONTACT URL	LOCUS TAG	COMPLETION DATE	PUBLICATION	PROJECT RELEVANCE	NCBI TAXON ID	NCBI PROJECT ID	NCBI ARCHIVE ID	SHORT READS ARCHIVE ID	GCAT_ID	HMP ID	HOMD ID	STRAININFO ID	GREENGENES OBJECT ID	IMG OBJECT ID	GENOME DATA	SEQUENCING STATUS	SEQUENCING QUALITY	COMMENTS	LIBRARY METHOD	READS COUNT	VECTOR	ASSEMBLY METHOD	SEQUENCING DEPTH	GENE CALLING METHOD	CONTIG COUNT	SIZE(kb)	ORFS	CHROMOSOME COUNT	PLASMID COUNT	GC Content	SEQUENCING METHOD	SEQUENCING COUNTRY	ISOLATION SITE	ISOLATION SOURCE	ISOLATION COMMENTS	COLLECTION DATE	ISOLATION COUNTRY	ISOLATION PUBMED ID	GEOGRAPHIC LOCATION	LATITUDE	LONGITUDE	ALTITUDE	DEPTH	HOST NAME	HOST TAXON ID	HOST GENDER	HOST AGE	HOST RACE	HOST HEALTH	HOST MEDICATION	HOST SPECIFICITY	BODY SAMPLE SITE	BODY PRODUCT	BODY SAMPLE SUBSITE	HOST COMMENTS	OXYGEN REQUIREMENT	CELL SHAPE	SPORULATION	PRESSURE	TEMPERATURE RANGE	SALINITY	PH	CELL DIAMETER	CELL LENGTH	COLOR	GRAM STAINING	BIOTIC RELATIONSHIPS	SYMBIOTIC INTERACTION	SYMBIOTIC RELATIONSHIP	SYMBIONT NAME	SYMBIONT TAXON ID	CELL ARRANGEMENT	DISEASE	HABITAT	TEMPERATURE	METABOLISM	MOTILITY	PHENOTYPE	ENERGY SOURCE
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	Geobacillus sp. Y412MC10	BACTERIAL	Geobacillus sp.  Y412MC10	Y412MC10	NA		Geobacillus sp. Y412MC10	NA		Gi02010	NA	Genome	incomplete	Public	DOE Joint Genome Institute	DOE	Mead D	dmead@lucigen.com	NA	GYMC10DRAFT	NA	 	Biotechnological	481743	27777	NA		002639_GCAT	NA		NA	352907	642791600	NZ_ABRG00000000	Draft	NA		NA		NA		NA		NA	7160	6639	NA		51	NA	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA	Facultative	Rod-shaped	Sporulating	NA	Mesophile	NA		NA		NA	gram+	Free living	NA		NA		NA	None	NA		NA	Motile	NA	Chemoorganotroph
Bacteria	Bacteroidetes	Flavobacteria	NA		NA	Flavobacteria bacterium MS024-3C	BACTERIAL	Flavobacteria sp.  MS024-3C	MS024-3C	NA		Flavobacteria bacterium MS024-3C	NA		Gi02017	NA	Genome	incomplete	Public	DOE Joint Genome Institute	DOE	Bruce D	microbes@cuba.jgi-psf.org	NA		NA	 	Environmental	487797	28051	NA		002646_GCAT	NA		NA		643886079	NZ_ABVW00000000	Draft	NA	Single Amplified Genome	NA		NA		NA		21	1515	1410	NA		38	454, Dideoxysequencing, WGS	USA	"Coastal seawater from Boothbay Harbor, Maine"	NA	DNA for sequencing was obtained by whole-genome multiple displacement amplification	NA	USA	NA	Coastal seawater from Boothbay Harbor, Maine	43.849784	-69.6266	NA		NA		NA		NA		NA		NA		NA		Aerobe	Rod-shaped	NA		Mesophile	NA		NA		NA	gram-	Free living	NA		NA		NA	None	Fresh water	NA		Motile	NA	Heterotroph
Bacteria	Bacteroidetes	Flavobacteria	NA		NA	Flavobacteria bacterium MS024-2A	BACTERIAL	Flavobacteria sp.  MS024-2A	MS024-2A	NA		Flavobacteria bacterium MS024-2A	NA		Gi02016	NA	Genome	incomplete	Public	DOE Joint Genome Institute	DOE	Bruce D	microbes@cuba.jgi-psf.org	NA		NA	 	Environmental	487796	28049	NA		002645_GCAT	NA		NA		643886118	NZ_ABVV00000000	Draft	NA	Single Amplified Genome	NA		NA		NA		17	1905	1809	NA		35	Dideoxysequencing, 454, WGS	USA	"Coastal seawater from Boothbay Harbor, Maine"	high-speed fluorescence-activated cell sorting	DNA for sequencing was obtained by whole-genome multiple displacement amplification	NA	USA	NA	Coastal seawater from Boothbay Harbor, Maine	43.849784	-69.6266	NA		NA		NA		NA		NA		NA		NA		Aerobe	Rod-shaped	NA		Mesophile	NA		NA		NA	gram-	Free living	NA		NA		NA	None	Fresh water	NA		Motile	NA	Heterotroph
Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. JDR-2	BACTERIAL	Paenibacillus sp.  JDR-2	JDR-2	NA		Paenibacillus sp. JDR-2	NA		Gc01093	Gi02023	Genome	Complete and Published	Public	DOE Joint Genome Institute	DOE	Preston J	jpreston@ufl.edu	NA	Pjdr	2009-07-02	Unpublished 	Biofuels, Ethanol production, Biotechnological	324057	20399	NA		002652_GCAT	NA		NA	270979	641736167	NC_012914	Complete	Level 6: Finished	NA		NA		NA		Prodigal, GenePRIMP	NA	7184	6414	1	NA	50	Sanger, 454	USA	Sweet gum stem wood buried in surface soil	NA		NA		NA	Sweet gum stem wood buried in surface soil	NA		NA		NA		NA		NA		NA		NA		NA		Aerobe	Rod-shaped	Sporulating	NA	Mesophile	NA		NA		NA	gram+	Free living	NA		NA		NA	None	Host, Wood	30	NA		Methylglucuronoxylan utilization	
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Pseudonocardiaceae	Saccharomonospora	Saccharomonospora viridis	BACTERIAL	Saccharomonospora viridis  P101, DSM 43017	P101, DSM 43017	NA		Saccharomonospora viridis DSM 43017	CBS 484.63, JCM 3036, DSM 43017, ATCC 15386	Yes	Gc01088	Gi02228	Genome	Complete and Published	Public	DSMZ, DOE Joint Genome Institute	DOE, DSMZ	Bruce D	microbes@cuba.jgi-psf.org	NA	Svir	2009-08-26	SIGS in press	GEBA, Tree of Life, Medical, Human Pathogen	471857	20835	NA		002928_GCAT	NA		NA		0	NC_013159	Complete	Level 6: Finished	NA	8Kb, Fosmid	NA	pMCL200, pcc1Fos	NA	12.9x Sanger	Genemark 4.6b	NA	4308	3790	1	0	67.3	Sanger	USA	Irish peat-bog at 250 cm depth	NA		before 1963	NA		Irish peat	NA		NA	250 cm	NA		NA		NA		NA		NA		NA		Aerobe	Spore-shaped	Sporulating	NA	Thermophile	NA		NA		NA	gram-	Free living	NA		NA		NA	Hypersensitivity pneumonitis	NA	55	NA	Nonmotile	Pathogen	
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	Salmonella enterica	BACTERIAL	Salmonella enterica enterica  E98-0664	E98-0664	Typhi	NA	Salmonella enterica subsp. enterica serovar Typhi str. E98-0664	NA		Gi02974	NA	Genome	incomplete	Public	Sanger Institute	Wellcome Trust	Parkhill J	parkhill@sanger.ac.uk	NA		NA	 	Medical, Human Pathogen	497973	28299	NA		003706_GCAT	NA		NA	369572	642979341	NZ_CAAU00000000	Draft	NA		NA		NA		10.8x 454	NA		4716	0	NA		51	454-GS20	United Kingdom	Case of typhoid fever in Kenya in 1998	NA		1998	Kenya	NA	Case of typhoid fever in Kenya in 1998	NA		NA		NA		NA		NA		NA		NA		NA		Facultative	Rod-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Pairs, Singles	Typhoid fever	Host	37	NA	Motile	Pathogen	Chemoorganotroph
unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	MICROBIAL	Aquatic microbial communities  from Yellowstone Obsidian Hot Spring	from Yellowstone Obsidian Hot Spring	NA		NA		NA	Gm00163	NA	Metagenome	complete	Public	DOE Joint Genome Institute	DOE	Mead D	dmead@lucigen.com	NA		NA	 	NA		37787	NA		004974_GCAT	NA		NA		0	NA		NA		NA		NA	lucy / pga	NA		NA	0	0	NA		0	NA	USA	Yellowstone National Park, Montana, USA	NA		NA	USA	NA	Yellowstone National Park, Montana, USA	44.6100594	-110.4388217	NA		NA		NA		NA		NA		NA		NA		NA		NA		Hyperthermophile	NA	6.37	NA		NA		NA		NA		NA		NA	Hot spring	NA		NA		
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XVI. Incertae Sedis	Carboxydocella	NA	BACTERIAL	Carboxydocella thermautotrophica  41, DSM 12326	41, DSM 12326	NA		NA	VKM B-2282, DSM 12326	Yes	Gi03013	NA	Genome	targeted	Public	DOE Joint Genome Institute, DSMZ	DOE	Bruce D	microbes@cuba.jgi-psf.org	NA		NA	 	NA	178899	NA		NA	003749_GCAT	NA		NA	36649	0	NA		NA		NA		NA		NA		NA	0	0	NA		46	Sanger, 454	USA	"Cyanobacterial mat, mud and water; Kamchatka Peninsula, Geyzer Valley"	NA		NA	Russia	NA	Kamchatka Peninsula, Geyzer Valley	54.431	160.139	NA		NA		NA		NA		NA		NA		NA		Anaerobe	Rod-shaped	NA		Thermophile	NA	7.0	NA		NA	gram+	Free living	NA		NA		Chains	NA		58	NA	Motile	NA	Chemolithoautotroph
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	Desulfarculus	Desulfarculus baarsii	BACTERIAL	Desulfarculus   Konstanz, DSM 2075	Konstanz, DSM 2075	NA		NA	ATCC 33931, VKM B-1802, DSM 2075	Yes	Gi03014	NA	Genome	incomplete	Public	DOE Joint Genome Institute, DSMZ	DOE, DSMZ	Bruce D	microbes@cuba.jgi-psf.org	NA		NA	 	Tree of Life, GEBA	644282	37955	NA		003750_GCAT	NA		NA		0	NA		NA		NA		NA		NA		NA	0	0	NA		0	Sanger, 454	USA	Ditch mud; Germany	NA		NA	Germany	NA	Ditch mud; Germany	NA		NA		NA		NA		NA		NA		NA		NA		Anaerobe	NA		NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		NA		Mud	NA		NA		
Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	Desulfobacca	NA	BACTERIAL	Desulfobacca acetoxidans  DSM 11109	DSM 11109	NA		NA	DSM 11109	Yes	Gi03015	NA	Genome	targeted	Public	DSMZ, DOE Joint Genome Institute	DOE	Bruce D	microbes@cuba.jgi-psf.org	NA		NA	 	Tree of Life, GEBA	60893	NA		NA	003751_GCAT	NA		NA	10776	0	NA		NA		NA		NA		NA		NA	0	0	NA		0	Sanger, 454	USA	Freshwater pond	NA		NA		NA	Freshwater pond	NA		NA		NA		NA		NA		NA		NA		NA		NA	Oval-shaped	NA		Mesophile	NA		NA	1.3 x 1.9-2.2 microns	NA	gram-	Free living	NA		NA		NA		Fresh water, Fresh water	27	NA	Nonmotile	Sulfate reducer	
